Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,RECURSIVE_DIVISION,0,761,229787,335829,11567,335828,14907,14907
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,259707,204060,14548,303600,17357,14907
BFS,DFS,0,761,117126,169048,42288,169047,23967,23967
RIGHT HAND RULE,DFS,0,761,177623,128093,57845,232218,23967,23967
BFS,PRIM,0,761,194975,288801,46928,288800,1663,1663
RIGHT HAND RULE,PRIM,0,761,185237,119971,38610,238278,1663,1663
BFS,HUNT_AND_KILL,0,761,193654,287887,56497,287886,1659,1659
RIGHT HAND RULE,HUNT_AND_KILL,0,761,181671,118959,46443,236258,1659,1659
BFS,RECURSIVE_DIVISION,0,761,220799,328302,11073,328301,20831,20831
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,144632,123493,8242,177252,24667,20831
